ID,Basic Event,Occurrences,MTTF_h,MTTR_h,Exp_λ_per_h,Weibull_ρ,Weibull_λ_h
BE1,BMS,1291,329271.88,10000.00,3.037004e-06,1.0631795531180868,337527.745330876
BE2,Battery_Pack,10897,25975.04,10063.33,3.849850e-05,2.259783439150605,30968.174598839054
BE3,Grid,15898,17550.64,10000.00,5.697799e-05,1.6969712588135313,19872.763808378273
BE4,PCC_Breaker,431,1006241.30,10000.00,9.937974e-07,0.9870740652836953,1000691.6338601388
BE5,PCC_Panel,867,495190.31,10000.00,2.019426e-06,1.0099008826208626,497277.89980582986
BE6,PCS,7427,48974.01,10001.35,2.041899e-05,2.06147122567668,55370.50421126436
BE7,PV_Array,3294,67884.03,31939.89,1.473100e-05,1.6428157994271937,77677.5044111206
BE8,PV_Inverter,7417,49053.53,10000.00,2.038589e-05,2.0957127912258375,55455.52576230384
