"Basic event (leaf)","TTF distribution","Parameters","Repair time distribution","Parameters"
"Grid","Exponential","λ = 5.7e-5 /h (≈0.5 outages/year)","Exponential","μ = 0.1 /h (mean 10 h)"
"PCC_Breaker","Exponential","λ = 1.0e-6 /h","Exponential","μ = 0.5 /h (mean 2 h)"
"PCC_Panel","Exponential","λ = 2.0e-6 /h","Exponential","μ = 0.25 /h (mean 4 h)"
"PV_Array","Weibull","η = 200,000 h, β = 2.5","Exponential","μ = 0.05 /h (mean 20 h)"
"PV_Inverter","Weibull","η = 60,000 h, β = 2.2","Exponential","μ = 0.083 /h (mean 12 h)"
"Battery_Pack","Weibull","η = 40,000 h, β = 3.0","Exponential","μ = 0.033 /h (mean 30 h)"
"BMS","Exponential","λ = 3.0e-6 /h","Exponential","μ = 0.125 /h (mean 8 h)"
"PCS","Weibull","η = 60,000 h, β = 2.2","Exponential","μ = 0.083 /h (mean 12 h)"
