"Basic event (leaf)","TTF distribution","Parameters","Repair time distribution","Parameters"
"UpstreamGridOutage","Exponential","λ = 5.7e-5 /h (≈0.5 outages/year)","Exponential","μ = 0.1 /h (mean 10 h)"
"PCCBreakerFailsToOpen/Close","Exponential","λ = 1.0e-6 /h","Exponential","μ = 0.5 /h (mean 2 h)"
"IslandingControllerFails","Exponential","λ = 2.0e-6 /h","Exponential","μ = 0.25 /h (mean 4 h)"
"PVArrayFailure","Weibull","η = 200,000 h, β = 2.5","Exponential","μ = 0.05 /h (mean 20 h)"
"PVInverterFailure","Weibull","η = 60,000 h, β = 2.2","Exponential","μ = 0.083 /h (mean 12 h)"
"BatteryPackFailure","Weibull","η = 40,000 h, β = 3.0","Exponential","μ = 0.033 /h (mean 30 h)"
"BMSFailure","Exponential","λ = 3.0e-6 /h","Exponential","μ = 0.125 /h (mean 8 h)"
"PCSFailure (bi-dir inverter)","Weibull","η = 60,000 h, β = 2.2","Exponential","μ = 0.083 /h (mean 12 h)"
